run, running, ran, runs
Stretch, stretches, stretching, stretched
Strike, strikes, striking, stroke
Strip, strips, stripping, stripped
Struggle, struggles, struggling, struggled
Study, studies, studying, studied
Submit, submits, submitting, submitted
Sue, sues, suing, sued
Suffer, suffers, suffering, suffered
Suggest, suggests, suggesting, suggested
Support, supports, supporting, supported
Suppose, supposes, supposing, supposed
Surprise, surprises, surprising, surprised
Surround, surrounds, surrounding, surrounded
Survive, survives, surviving, survived
Suspect, suspects, suspecting, suspected
Sustain, sustains, sustaining, sustained
Swear, swears, swearing, sworn
Sweep, sweeps, sweeping, sweeped
Swim, swims, swimming, swam, swum
Swing, swings, swinging, swung
Switch, switches, switching, switched
Take, takes, taking, took
Talk, talks, talking, talked
Tap, taps, tapping, tapped
Target, targets, targeting, targetted
Teach, teaches, teaching, taught
Tear, tears, tearing, torn
Tell, tells, telling, told
Test, tests, testing, tested
Testify, testifies, testifying, testified
Thank, thanks, thanking, thanked
Think, thinks, thinking, thought
Threaten, threatens, threatening, threatened
Throw, throws, throwing, threw, thrown
Tip, tips, tipping, tipped
Toss, tosses, tossing, tossed
Touch, touches, touching, touched
Trace, traces, tracing, traced
Track, tracks, tracking, tracked
Trade, trades, trading, traded
Train, trains, training, trained
Transfer, transfers, transferring, transferred
Transform, transforms, transforming, transformed
Translate, translates, translating, translated
Travel, travels, traveling, traveled
Treat, treats, treating, treated
Trick, tricks, tricking, tricked
Trip, trips, tripping, tripped
Trust, trusts, trusting, trusted
Try, tries, trying, tried
Turn, turns, turning, turned
Type, types, typing, typed
Undergo, undergoes, undergoing, undergone
Understand, understands, understanding, understood
Use, uses, using, used
Value, values, valuing, valued
Venture, ventures, venturing, ventured
View, views, viewing, viewed
Violate, violates, violating, violated
Visit, visits, visiting, visited
Vote, votes, voting, voted
Wait, waits, waiting, waited
Wake, wakes, waking, woke
Walk, walks, walking, walked
Wander, wanders, wandering, wandered
Want, wants, wanting, wanted
Warm, warms, warming, warmed
Warn, warns, warning, warned
Wash, washes, washing, washed
Watch, watches, watching, watched
Water, waters, watering, watered
Wave, waves, waving, waved
Wear, wears, wearing, wore
Weigh, weighs, weighing, weighed
Whisper, whispers, whispering, whispered
Win, wins, winning, won
Wipe, wipes, wiping, wiped
Wish, wishes, wishing, wished
Withdraw, withdraws, withdrawing, withdrawn
Witness, witnesses, witnessing, witnessed
Work, works, working, worked
Worry, worries, worrying, worried
Wrap, wraps, wrapping, wrapped
Write, writes, writing, wrote, written
Yell, yells, yelling, yelled
Yield, yields, yielding, yielded
Slap, slaps, slapping, slapped
Bright, brighter, brightest
Fair, fairer, fairest
